class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,95.43,98.13,169.78,171.68,106.88,157.05,176.38,175.63,133.31,132.19
1,173.04,173.23,166.74,167.25,83.33,93.98,176.65,177.07,115.50,116.64
2,84.28,87.49,96.92,96.19,157.24,152.84,113.29,116.86,132.43,129.06
3,80.26,81.87,175.42,175.17,86.10,97.58,91.23,87.43,149.11,150.06
4,20.78,22.20,158.20,157.39,155.40,152.70,20.18,20.77,171.82,172.31
5,68.22,66.63,174.53,174.48,95.98,85.19,174.56,173.82,114.56,115.45
6,25.02,25.19,167.11,167.50,91.40,90.25,174.69,177.44,127.03,130.06
7,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
8,14.58,14.32,176.35,175.68,91.48,90.02,163.49,164.67,149.83,144.65
9,163.53,162.40,167.93,165.32,93.97,86.35,76.18,75.38,73.83,72.42
10,97.31,98.01,175.14,174.42,141.93,145.20,171.89,122.45,139.60,128.62
