class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,94.30,99.09,164.46,169.43,112.14,129.48,173.26,174.28,135.01,135.26
1,168.77,167.90,165.55,164.70,84.09,95.93,174.17,174.31,115.75,115.66
2,78.95,80.75,100.26,97.77,152.87,151.18,116.59,117.05,132.10,131.12
3,82.00,82.38,174.65,173.88,81.15,102.41,94.72,90.11,144.13,145.26
4,22.52,23.00,144.99,143.01,144.13,146.01,28.28,26.75,164.40,163.68
5,70.38,68.07,157.63,158.79,94.53,84.35,169.73,170.22,117.88,117.48
6,32.17,32.47,163.42,165.69,92.74,87.47,174.82,176.64,128.17,132.29
7,109.09,105.52,107.65,107.68,106.14,119.56,124.80,89.64,148.84,135.69
8,14.48,14.14,173.82,169.94,93.05,88.34,153.54,158.07,148.55,141.17
9,148.32,150.13,159.55,157.19,90.92,88.14,87.94,88.13,84.77,85.04
10,95.95,99.20,171.45,171.59,143.49,145.34,149.21,136.12,142.57,133.96
